Variety	Vigour	NFruits	Seeds	SepalLength	PetalLength	Brix_Day1	Brix_Day2	Brix_Day3	Acidity	FruitWeight	LeafWeight	Yield
Variety3	2	14	10	2	0	12	17.4	20	83.33333333	16.66666667	222.7	3117.8
Variety3	1	9	7	1	0	8	22	22.2	87.5	12.5	266.13	2395.17
Variety3	2	12	12	0	0	12	16.4	20.4	100	0	241.96	4355.28
Variety3	2	17	9	4	0	13	19.8	21.2	69.23076923	30.76923077	224.98	3824.66
Variety3	3	14	10	2	0	12	18.9	22.1	83.33333333	16.66666667	295.79	4141.06
Variety4	1	12	10	1	0	11	20.5	25.2	90.90909091	9.090909091	267.95	2143.6
Variety4	1	12	8	2	0	10	20.2	20.4	80	20	309.66	2786.94
Variety4	1	6	6	0	0	6	21.2	23.8	100	0	292.02	1460.1
Variety4	1	6	6	0	0	6	23.8	21.2	100	0	391.74	1566.96
Variety4	1	10	8	1	0	9	21.4	24	88.88888889	11.11111111	501.55	5015.5
Variety4	1	11	4	2	1	7	23.6	23.2	57.14285714	28.57142857	407.91	3671.19
Variety4	1	18	8	5	0	13	23	23.2	61.53846154	38.46153846	449.31	6739.65
Variety4	1	6	6	0	0	6	20.8	20.8	100	0	400.31	2001.55
Variety4	1	6	6	0	0	6	22.2	24	100	0	431.81	2159.05
Variety4	1	10	6	2	0	8	25.8	21.4	75	25	478.91	4789.1
Variety4	2	10	10	0	0	10	21.6	21.8	100	0	441.01	3969.09
Variety4	2	11	11	0	0	11	20.8	23	100	0	356.85	4282.2
Variety4	2	14	6	4	0	10	21.4	20.4	60	40	438.76	5703.88
Variety4	2	16	10	3	0	13	19	24	76.92307692	23.07692308	384.61	6922.98
Variety4	2	23	9	7	0	16	24.6	24	56.25	43.75	584.51	11690.2
Variety4	3	15	5	5	0	10	22.8	24.6	50	50	271.35	3256.2
Variety4	2	19	5	7	0	12	22.4	23.6	41.66666667	58.33333333	360.56	5768.96
Variety4	3	17	9	4	0	13	18.6	23.2	69.23076923	30.76923077	630.71	11352.78
Variety4	3	15	9	3	0	12	20.4	21.2	75	25	474.81	7596.96
Variety4	2	25	8	7	1	16	18	22.5	50	43.75	488.71	11240.33
Variety2	2	14	10	2	0	12	14.2	14	83.33333333	16.66666667	514.57	6174.84
Variety2	3	11	5	3	0	8	18	16.2	62.5	37.5	572.31	6295.41
Variety2	1	10	8	1	0	9	13.6	16.4	88.88888889	11.11111111	461.15	4611.5
Variety2	1	8	8	0	0	8	15	14.2	100	0	683.49	5467.92
Variety2	3	22	18	2	0	20	15.2	16	90	10	531.2	11155.2
Variety2	1	11	5	3	0	8	18	20	62.5	37.5	458.21	5040.31
Variety2	2	12	10	1	0	11	16	17	90.90909091	9.090909091	554.76	6102.36
Variety2	2	13	9	2	0	11	14.2	16.2	81.81818182	18.18181818	617.67	8647.38
Variety2	1	9	9	0	0	9	16.2	18	100	0	475.14	4276.26
Variety2	2	12	10	1	0	11	14.8	16.4	90.90909091	9.090909091	423.69	5084.28
Variety2	1	14	8	3	0	11	15.6	16.2	72.72727273	27.27272727	380.35	5324.9
Variety2	1	19	3	8	0	11	15.4	15	27.27272727	72.72727273	321.29	5783.22
Variety2	1	12	6	3	0	9	15	16.6	66.66666667	33.33333333	333.12	3997.44
Variety2	2	17	5	6	0	11	15.2	16.4	45.45454545	54.54545455	415.67	7066.39
Variety2	1	9	5	2	0	7	14	17.5	71.42857143	28.57142857	409.97	4509.67
Variety2	1	9	5	2	0	7	14.2	15	71.42857143	28.57142857	301.27	3615.24
Variety2	1	9	7	1	0	8	16.8	17.2	87.5	12.5	553.07	4977.63
Variety2	1	14	12	1	0	13	19.2	21.2	92.30769231	7.692307692	436.88	5679.44
Variety2	1	13	13	0	0	13	17.4	16.4	100	0	336.64	4376.32
Variety2	1	11	7	2	0	9	16.2	18.2	77.77777778	22.22222222	433.23	4765.5
